keyword,tier,category,active,notes,id,createdAt,updatedAt
helpless,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,49,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
hopeless,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,50,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
losing my mind,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,51,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
lost my mind,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,52,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
mental breakdown,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,53,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
mental breakdowns,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,54,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
mind control,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,55,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
panic attack,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,56,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
panic attacks,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,57,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
spying on me,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,58,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
terrified,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,59,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
they are following me,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,60,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
they are tracking me,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,61,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
they are watching me,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,62,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
unbearable,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,63,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
voices are telling me,C,SEVERE DISTRESS / ABNORMAL COMMUNICATION,true,,64,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
bankrupt you,C,THREATS / RETALIATION / COERCION,true,,65,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
bankrupt your company,C,THREATS / RETALIATION / COERCION,true,,66,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
bring you down,C,THREATS / RETALIATION / COERCION,true,,67,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
bringing you down,C,THREATS / RETALIATION / COERCION,true,,68,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
come after you,C,THREATS / RETALIATION / COERCION,true,,69,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
come to your office,C,THREATS / RETALIATION / COERCION,true,,70,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
coming after you,C,THREATS / RETALIATION / COERCION,true,,71,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
coming to your office,C,THREATS / RETALIATION / COERCION,true,,72,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
destroy you,C,THREATS / RETALIATION / COERCION,true,,73,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
destroy your business,C,THREATS / RETALIATION / COERCION,true,,74,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
destroy your company,C,THREATS / RETALIATION / COERCION,true,,75,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
destroying you,C,THREATS / RETALIATION / COERCION,true,,76,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
final warning,C,THREATS / RETALIATION / COERCION,true,,77,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
find you,C,THREATS / RETALIATION / COERCION,true,,78,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
finding you,C,THREATS / RETALIATION / COERCION,true,,79,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
get you fired,C,THREATS / RETALIATION / COERCION,true,,80,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
getting you fired,C,THREATS / RETALIATION / COERCION,true,,81,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
go after you,C,THREATS / RETALIATION / COERCION,true,,82,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
going after you,C,THREATS / RETALIATION / COERCION,true,,83,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
I have your address,C,THREATS / RETALIATION / COERCION,true,,84,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
I know where you are,C,THREATS / RETALIATION / COERCION,true,,85,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
I know where you work,C,THREATS / RETALIATION / COERCION,true,,86,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
I know your address,C,THREATS / RETALIATION / COERCION,true,,87,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
last warning,C,THREATS / RETALIATION / COERCION,true,,88,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
make you pay,C,THREATS / RETALIATION / COERCION,true,,89,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
or else,C,THREATS / RETALIATION / COERCION,true,,90,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
put you out of business,C,THREATS / RETALIATION / COERCION,true,,91,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
retaliate,C,THREATS / RETALIATION / COERCION,true,,92,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
retaliated,C,THREATS / RETALIATION / COERCION,true,,93,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
retaliates,C,THREATS / RETALIATION / COERCION,true,,94,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
retaliating,C,THREATS / RETALIATION / COERCION,true,,95,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
retaliation,C,THREATS / RETALIATION / COERCION,true,,96,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
revenge,C,THREATS / RETALIATION / COERCION,true,,97,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
ruin you,C,THREATS / RETALIATION / COERCION,true,,98,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
ruin your business,C,THREATS / RETALIATION / COERCION,true,,99,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
ruin your company,C,THREATS / RETALIATION / COERCION,true,,100,2026-09-14T15:14:10.158Z,2026-09-14T15:14:10.158Z
